,Zeit,Zyklus,Normalkraft,Reibkraft,Verschleiss
52349,10.47,0.0,19.671022415161133,2.1233056783676147,-7.4645771980285645
52350,10.4702,0.0,19.640522003173828,2.175732970237732,-8.438217878341675
52351,10.4704,0.0,19.671022415161133,2.175732970237732,-7.789124011993408
52352,10.4706,0.0,19.76251983642578,2.1495193243026733,-12.008233070373535
52353,10.4708,0.0,19.640522003173828,2.175732970237732,-7.4645771980285645
52354,10.471,0.0,19.54902458190918,2.175732970237732,-7.789124011993408
52355,10.4712,0.0,19.76251983642578,2.175732970237732,-8.438217878341675
52356,10.4714,0.0,19.76251983642578,2.097092032432556,-8.438217878341675
52357,10.4716,0.0,19.610023498535156,2.0708783864974976,-10.710045690648258
52358,10.4718,0.0,19.610023498535156,2.175732970237732,-7.4645771980285645
52359,10.472,0.0,19.73202133178711,2.228160262107849,-8.113671064376831
52360,10.4722,0.0,19.76251983642578,2.1495193243026733,-7.789124011993408
52361,10.4724,0.0,19.610023498535156,2.097092032432556,-7.140030384063721
52362,10.4726,0.0,19.671022415161133,2.1495193243026733,-11.683686196804047
52363,10.4728,0.0,19.76251983642578,2.1495193243026733,-8.113671064376831
52364,10.473,0.0,19.640522003173828,2.175732970237732,-7.789124011993408
52365,10.4732,0.0,19.701520919799805,2.2019466161727905,-8.113671064376831
52366,10.4734,0.0,19.73202133178711,2.175732970237732,-7.789124011993408
52367,10.4736,0.0,19.73202133178711,2.175732970237732,-9.736405193805695
52368,10.4738,0.0,19.671022415161133,2.1495193243026733,-8.113671064376831
52369,10.474,0.0,19.640522003173828,2.1233056783676147,-7.789124011993408
52370,10.4742,0.0,19.701520919799805,2.1495193243026733,-7.4645771980285645
52371,10.4744,0.0,19.701520919799805,2.175732970237732,-7.789124011993408
52372,10.4746,0.0,19.610023498535156,2.1495193243026733,-7.789124011993408
52373,10.4748,0.0,19.671022415161133,2.1495193243026733,-8.438217878341675
52374,10.475,0.0,19.671022415161133,2.1495193243026733,-7.4645771980285645
52375,10.4752,0.0,19.76251983642578,2.1495193243026733,-7.789124011993408
52376,10.4754,0.0,19.640522003173828,2.1495193243026733,-8.113671064376831
52377,10.4756,0.0,19.76251983642578,2.175732970237732,-8.438217878341675
52378,10.4758,0.0,19.610023498535156,2.175732970237732,-7.789124011993408
52379,10.476,0.0,19.610023498535156,2.175732970237732,-7.789124011993408
52380,10.4762,0.0,19.793018341064453,2.175732970237732,-7.4645771980285645
52381,10.4764,0.0,19.701520919799805,2.0708783864974976,-8.113671064376831
52382,10.4766,0.0,19.701520919799805,2.1495193243026733,-8.113671064376831
52383,10.4768,0.0,19.640522003173828,2.2019466161727905,-7.789124011993408
52384,10.477,0.0,19.57952308654785,2.2019466161727905,-8.113671064376831
52385,10.4772,0.0,19.640522003173828,2.175732970237732,-8.113671064376831
